geo_id,state_fips,county_fips,county,area_km2,northmost,southmost,eastmost,westmost,bbox_area_km2,occupied_raw,occupied
0500000US01001,01,001,Autauga,1539.58924,32.707386,32.340803,-86.411172,-86.917595,1935.3919693646983,0.7954922126216002,0.7954922126216002
0500000US01009,01,009,Blount,1669.9698399999997,34.259317,33.765316,-86.303516,-86.963358,3340.787193044704,0.49987315668497695,0.49987315668497695
0500000US01017,01,017,Chambers,1545.0152899999998,33.108077,32.72853,-85.123421,-85.593177,1850.551474223828,0.8348945228059768,0.8348945228059768
0500000US01021,01,021,Chilton,1794.49186,33.071861,32.661732,-86.374974,-87.019157,2743.755297347973,0.65402766118921,0.65402766118921
0500000US01033,01,033,Colbert,1534.88321,34.892202,34.567081,-87.416484,-88.139988,2390.279976881337,0.6421353250854754,0.6421353250854754
0500000US01045,01,045,Dale,1453.3784999999998,31.619466,31.195179,-85.416437,-85.791402,1678.8662465501397,0.8656904640179115,0.8656904640179115
0500000US01051,01,051,Elmore,1601.87615,32.767469,32.409937,-85.87986,-86.413335,1987.0077079238492,0.806175106222281,0.806175106222281
0500000US01065,01,065,Hale,1667.8123699999999,33.006824,32.480918,-87.420132,-87.870464,2462.955555639908,0.677158938650308,0.677158938650308
0500000US01079,01,079,Lawrence,1788.85602,34.800022,34.299299,-87.105073,-87.529722,2165.3703103081734,0.8261201381972452,0.8261201381972452
0500000US01083,01,083,Limestone,1450.23424,34.999024,34.55079,-86.783628,-87.260676,2171.656458628819,0.6678009471699202,0.6678009471699202
0500000US01099,01,099,Monroe,2656.4982499999996,31.830628,31.244458,-86.905899,-87.784796,5429.028153369476,0.48931377310159435,0.48931377310159435
0500000US01107,01,107,Pickens,2282.84672,33.534008,32.991199,-87.837521,-88.340432,2822.2790629037945,0.8088664051708686,0.8088664051708686
0500000US01121,01,121,Talladega,1908.24725,33.679098,33.102944,-85.794559,-86.503127,4214.4571354618165,0.45278601458379664,0.45278601458379664
0500000US02050,02,050,Bethel,105076.31036,62.295331,58.551842,-153.001262,-173.120769,459566.9249741295,0.22864202067177722,0.22864202067177722
0500000US02105,02,105,Hoonah-Angoon,19489.52985,59.261108,57.023737,-132.367984,-137.944259,81414.73715858629,0.23938577375784803,0.23938577375784803
0500000US02122,02,122,Kenai Peninsula,41635.10729,61.428123,58.64681,-148.562368,-154.747693,106223.01851728035,0.3919593687993983,0.3919593687993983
0500000US02150,02,150,Kodiak Island,16963.40961,58.855797,55.759983,-151.963817,-156.750815,98957.8484423137,0.17142055811660675,0.17142055811660675
0500000US02164,02,164,Lake and Peninsula,61258.70330999999,60.908538,55.633045,-153.394293,-159.903652,223216.63550015172,0.274436101828792,0.274436101828792
0500000US02180,02,180,Nome,59470.96098999999,66.58111,62.937527,-159.384765,-171.849984,239422.94856880195,0.24839290195655608,0.24839290195655608
0500000US02188,02,188,Northwest Arctic,92132.99256,68.301027,65.435857,-154.141599,-165.35998,156108.39248175285,0.5901860309705592,0.5901860309705592
0500000US02198,02,198,Prince of Wales-Hyder,10160.24107,56.352506,54.669064,-130.00426,-133.945619,46452.461669479795,0.2187234153981442,0.2187234153981442
0500000US05141,05,141,Van Buren,1834.09037,35.790823,35.363718,-92.24052,-92.850624,2620.452721449501,0.699913551191824,0.699913551191824
0500000US05145,05,145,White,2680.84425,35.534114,35.024577,-91.347257,-92.119719,3972.800458866964,0.6747996225223384,0.6747996225223384
0500000US06005,06,005,Amador,1539.9699699999999,38.709029,38.221277,-120.072392,-121.027507,4510.024491057292,0.34145490186439814,0.34145490186439814
0500000US06021,06,021,Glenn,3403.1227299999996,39.798156,39.383266,-121.856532,-122.937654,4273.819870530317,0.7962719143747449,0.7962719143747449
0500000US06033,06,033,Lake,3254.24176,39.580668,38.667506,-122.340172,-123.093013,6594.120744733393,0.4935065471160966,0.4935065471160966
0500000US06043,06,043,Mariposa,3752.43344,37.904122,37.183108,-119.308995,-120.391931,7654.688947938367,0.4902137063336376,0.4902137063336376
0500000US06055,06,055,Napa,1938.2575799999997,38.864245,38.155017,-122.064779,-122.646268,3990.08402105072,0.4857686128347726,0.4857686128347726
0500000US06089,06,089,Shasta,9778.29118,41.183886,40.286971,-121.319972,-123.068789,14695.264335649532,0.6654042388525567,0.6654042388525567
0500000US06099,06,099,Stanislaus,3871.60193,38.077421,37.134774,-120.387329,-121.472648,10021.232193174254,0.3863399086428771,0.3863399086428771
0500000US06115,06,115,Yuba,1636.4630100000002,39.639459,38.938918,-121.009477,-121.62376,4118.023770032843,0.39739037494359797,0.39739037494359797
0500000US08003,08,003,Alamosa,1871.64537,37.751464,37.356798,-105.457255,-106.039331,2251.8071887279107,0.831174791238378,0.831174791238378
0500000US08013,08,013,Boulder,1881.0885099999998,40.261793,39.912886,-105.052774,-105.675798,2056.2813523328773,0.9148011325716109,0.9148011325716109
0500000US08014,08,014,Broomfield,85.55806,40.044227,39.913795,-104.961151,-105.147342,230.0918849582319,0.3718430140008248,0.3718430140008248
0500000US08025,08,025,Crowley,2039.42039,38.522393,38.11334,-103.501764,-104.058242,2208.1915075974657,0.9235704344406748,0.9235704344406748
0500000US08031,08,031,Denver,396.27,39.914183,39.614337,-104.600435,-105.109927,1451.9556927926374,0.2729215512339974,0.2729215512339974
0500000US08035,08,035,Douglas,2176.24232,39.566088,39.129527,-104.660626,-105.32922,2790.8207591098117,0.7797857719440772,0.7797857719440772
0500000US08047,08,047,Gilpin,388.23063999999994,39.934867,39.747087,-105.39745,-105.690348,522.1547589244146,0.7435164256660521,0.7435164256660521
0500000US12083,12,083,Marion,4103.97414,29.521004,28.959884,-81.639151,-82.535591,5426.882139631626,0.7562305637760867,0.7562305637760867
0500000US12087,12,087,Monroe,2546.7003799999998,25.805377,24.544701,-80.173951,-82.165206,28089.713289249532,0.0906630962650185,0.0906630962650185
0500000US12095,12,095,Orange,2339.88111,28.78597,28.347098,-80.862908,-81.658114,3789.7617515526863,0.6174216912293596,0.6174216912293596
0500000US12111,12,111,St. Lucie,1481.28834,27.55847,27.205988,-80.199288,-80.679821,1859.615189786148,0.7965563779732006,0.7965563779732006
0500000US12119,12,119,Sumter,1416.55647,28.960391,28.312794,-81.95358,-82.311697,2516.7110390580383,0.5628601965087707,0.5628601965087707
